

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 759 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 77.33%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 500 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 759
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980228/inputs/dataset_3e205436-d90a-4eae-b7a1-e201dcf68d8c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 500 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.006609
Bootstrap[52]: Time 105.227982 seconds, bootstrap likelihood -129318.897299, best rearrangement setting 12
Bootstrap[53]: Time 72.457028 seconds, bootstrap likelihood -122107.410249, best rearrangement setting 8
Bootstrap[54]: Time 85.808426 seconds, bootstrap likelihood -127825.376757, best rearrangement setting 9
Bootstrap[55]: Time 100.221081 seconds, bootstrap likelihood -139979.215514, best rearrangement setting 11
Bootstrap[56]: Time 49.216220 seconds, bootstrap likelihood -133096.578682, best rearrangement setting 5
Bootstrap[57]: Time 68.394502 seconds, bootstrap likelihood -128187.899876, best rearrangement setting 7
Bootstrap[58]: Time 92.068107 seconds, bootstrap likelihood -135206.917931, best rearrangement setting 10
Bootstrap[59]: Time 83.414681 seconds, bootstrap likelihood -125096.597932, best rearrangement setting 9
Bootstrap[60]: Time 71.904392 seconds, bootstrap likelihood -139755.692637, best rearrangement setting 7
Bootstrap[61]: Time 51.806330 seconds, bootstrap likelihood -131393.505229, best rearrangement setting 5
Bootstrap[62]: Time 100.980928 seconds, bootstrap likelihood -129731.470678, best rearrangement setting 11
Bootstrap[63]: Time 108.162631 seconds, bootstrap likelihood -135765.355027, best rearrangement setting 12
Bootstrap[64]: Time 69.776408 seconds, bootstrap likelihood -135781.071311, best rearrangement setting 7
Bootstrap[65]: Time 51.515384 seconds, bootstrap likelihood -131005.348156, best rearrangement setting 5
Bootstrap[66]: Time 51.274170 seconds, bootstrap likelihood -122239.973940, best rearrangement setting 5
Bootstrap[67]: Time 133.072896 seconds, bootstrap likelihood -144411.692746, best rearrangement setting 15
Bootstrap[68]: Time 109.160206 seconds, bootstrap likelihood -135571.862353, best rearrangement setting 11
Bootstrap[69]: Time 46.843799 seconds, bootstrap likelihood -119802.740470, best rearrangement setting 5
Bootstrap[70]: Time 79.351473 seconds, bootstrap likelihood -126223.688657, best rearrangement setting 8
Bootstrap[71]: Time 94.565132 seconds, bootstrap likelihood -137034.663823, best rearrangement setting 10
Bootstrap[72]: Time 101.359810 seconds, bootstrap likelihood -116578.473898, best rearrangement setting 11
Bootstrap[73]: Time 80.294606 seconds, bootstrap likelihood -122092.415282, best rearrangement setting 9
Bootstrap[74]: Time 44.902092 seconds, bootstrap likelihood -132106.192205, best rearrangement setting 5
Bootstrap[75]: Time 75.046653 seconds, bootstrap likelihood -133740.348806, best rearrangement setting 8
Bootstrap[76]: Time 79.268285 seconds, bootstrap likelihood -129470.240607, best rearrangement setting 9
Bootstrap[77]: Time 94.778669 seconds, bootstrap likelihood -130955.821764, best rearrangement setting 11
Bootstrap[78]: Time 125.363930 seconds, bootstrap likelihood -144055.660292, best rearrangement setting 15
